epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,490.409,0.82188,0.47705,0.9419,0.81622,0.80094,0.87345,0.66525,0.88096,0.64002,1.01395,0.00044316,0.00044316,0.00044316
43,502.015,0.78402,0.45449,0.92724,0.83066,0.80971,0.86419,0.62327,0.98105,0.66116,1.05774,0.000440408,0.000440408,0.000440408
44,513.592,0.79373,0.4626,0.93311,0.84311,0.82905,0.89006,0.68377,0.86587,0.61931,1.01037,0.000437655,0.000437655,0.000437655
45,525.306,0.77339,0.44281,0.92731,0.79935,0.81447,0.86868,0.64513,0.9288,0.63317,1.06111,0.000434903,0.000434903,0.000434903
46,536.971,0.79006,0.45686,0.93105,0.78685,0.8326,0.86068,0.66119,0.85597,0.64714,1.01305,0.000432151,0.000432151,0.000432151
47,548.55,0.77751,0.4371,0.9244,0.84663,0.77496,0.84364,0.63259,0.91764,0.6766,1.04107,0.000429399,0.000429399,0.000429399
48,560.065,0.76909,0.44229,0.91542,0.80081,0.82305,0.87897,0.64449,0.97789,0.64843,1.06609,0.000426647,0.000426647,0.000426647
49,571.679,0.76991,0.44685,0.92702,0.8296,0.77659,0.85677,0.65205,0.90095,0.68294,1.04391,0.000423894,0.000423894,0.000423894
50,583.258,0.77215,0.44829,0.92368,0.80506,0.79022,0.85084,0.65083,0.88166,0.64999,1.01614,0.000421142,0.000421142,0.000421142
51,594.854,0.74856,0.42786,0.91104,0.79769,0.81209,0.85377,0.6452,0.89932,0.67273,1.03099,0.00041839,0.00041839,0.00041839
52,606.421,0.75697,0.43022,0.91746,0.80372,0.80148,0.8435,0.6494,0.87135,0.65231,1.02223,0.000415638,0.000415638,0.000415638
53,618.016,0.77223,0.44878,0.9233,0.81363,0.74841,0.8344,0.63482,0.91819,0.69985,1.04831,0.000412886,0.000412886,0.000412886
54,629.621,0.74906,0.43673,0.91161,0.8262,0.79778,0.87693,0.67025,0.87783,0.64379,1.02878,0.000410133,0.000410133,0.000410133
55,641.218,0.74264,0.42937,0.91372,0.77058,0.78166,0.82688,0.61749,0.91701,0.66611,1.03739,0.000407381,0.000407381,0.000407381
56,652.774,0.74167,0.42028,0.91162,0.76478,0.84796,0.87895,0.6829,0.85884,0.58209,1.00217,0.000404629,0.000404629,0.000404629
57,664.333,0.73556,0.41059,0.90817,0.80764,0.78378,0.83908,0.63482,0.90731,0.64827,1.03134,0.000401877,0.000401877,0.000401877
58,675.881,0.74366,0.42652,0.91308,0.80007,0.83587,0.86943,0.66429,0.88716,0.62187,1.01504,0.000399125,0.000399125,0.000399125
59,687.414,0.72323,0.40594,0.89841,0.79317,0.81195,0.85383,0.64618,0.89447,0.65916,1.01331,0.000396372,0.000396372,0.000396372
60,698.95,0.73063,0.41567,0.91179,0.82943,0.83225,0.89346,0.68167,0.87975,0.60193,1.01525,0.00039362,0.00039362,0.00039362
61,710.517,0.71009,0.40244,0.89934,0.84957,0.77901,0.88568,0.67912,0.87169,0.63491,1.01674,0.000390868,0.000390868,0.000390868
62,722.12,0.72527,0.4189,0.9034,0.76079,0.86127,0.87204,0.63261,0.98658,0.65629,1.07618,0.000388116,0.000388116,0.000388116
63,733.682,0.72003,0.40617,0.90574,0.8242,0.8516,0.8923,0.68615,0.86752,0.5913,1.02348,0.000385364,0.000385364,0.000385364
64,745.416,0.71815,0.40262,0.904,0.80683,0.81654,0.85918,0.65733,0.9062,0.61888,1.02094,0.000382611,0.000382611,0.000382611
65,757.004,0.71723,0.40527,0.90877,0.82077,0.82592,0.88317,0.68277,0.85915,0.6069,1.02603,0.000379859,0.000379859,0.000379859
66,768.654,0.70622,0.40605,0.90734,0.786,0.83518,0.87607,0.6855,0.84185,0.59933,1.00951,0.000377107,0.000377107,0.000377107
67,780.209,0.72601,0.40399,0.91014,0.8096,0.85768,0.8902,0.69089,0.84609,0.57939,1.01123,0.000374355,0.000374355,0.000374355
68,791.969,0.70084,0.38696,0.89859,0.8465,0.78793,0.87915,0.69298,0.8336,0.64768,1.00773,0.000371603,0.000371603,0.000371603
69,803.702,0.68324,0.38212,0.88425,0.82978,0.81574,0.88518,0.67847,0.87296,0.62212,1.00672,0.00036885,0.00036885,0.00036885
70,815.353,0.67949,0.38555,0.89144,0.846,0.81474,0.88858,0.67145,0.91775,0.58487,1.03827,0.000366098,0.000366098,0.000366098
71,826.918,0.67494,0.38071,0.89088,0.82383,0.8604,0.89354,0.69053,0.85632,0.58513,1.00587,0.000363346,0.000363346,0.000363346
72,838.453,0.67073,0.38596,0.89144,0.84357,0.82516,0.89014,0.68585,0.85724,0.59654,1.01086,0.000360594,0.000360594,0.000360594
73,850.072,0.68246,0.39068,0.89322,0.81972,0.80749,0.86186,0.671,0.84043,0.60268,0.99394,0.000357842,0.000357842,0.000357842
74,861.678,0.66837,0.37941,0.88778,0.85517,0.79498,0.86848,0.67695,0.873,0.60678,1.02147,0.000355089,0.000355089,0.000355089
75,873.245,0.67432,0.38136,0.88906,0.81018,0.83593,0.88124,0.69234,0.83347,0.63698,1.00729,0.000352337,0.000352337,0.000352337
76,884.808,0.6664,0.38256,0.89141,0.82459,0.83196,0.87331,0.65417,0.93196,0.67705,1.03781,0.000349585,0.000349585,0.000349585
77,896.396,0.67844,0.38005,0.89423,0.78421,0.83011,0.86607,0.67266,0.85564,0.65272,1.02324,0.000346833,0.000346833,0.000346833
78,907.926,0.66302,0.37254,0.89031,0.75192,0.84124,0.87268,0.6819,0.85526,0.631,1.01602,0.000344081,0.000344081,0.000344081
79,919.49,0.63559,0.3635,0.8824,0.8334,0.81266,0.88436,0.65786,0.94603,0.61774,1.05897,0.000341328,0.000341328,0.000341328
80,931.09,0.66511,0.37432,0.88256,0.79897,0.82998,0.85695,0.66136,0.86015,0.61062,1.00603,0.000338576,0.000338576,0.000338576
81,942.757,0.6504,0.37533,0.8822,0.81719,0.81886,0.87824,0.67726,0.87335,0.62244,1.02648,0.000335824,0.000335824,0.000335824
82,954.37,0.64556,0.37,0.8802,0.78582,0.86495,0.88811,0.68982,0.85272,0.6203,1.01041,0.000333072,0.000333072,0.000333072
83,965.958,0.65226,0.37258,0.88349,0.8159,0.82733,0.88792,0.67494,0.89177,0.62521,1.02031,0.00033032,0.00033032,0.00033032
84,977.579,0.66773,0.37894,0.88503,0.84321,0.81497,0.8844,0.68043,0.88209,0.58353,1.01362,0.000327567,0.000327567,0.000327567
85,989.174,0.64014,0.3674,0.87803,0.82433,0.81943,0.88261,0.67534,0.89677,0.63305,1.01393,0.000324815,0.000324815,0.000324815
86,1000.83,0.65091,0.35493,0.8764,0.76315,0.90234,0.90608,0.70352,0.86913,0.53688,1.01247,0.000322063,0.000322063,0.000322063
87,1012.45,0.64071,0.36219,0.87975,0.86469,0.80098,0.87953,0.68991,0.83921,0.58964,0.99926,0.000319311,0.000319311,0.000319311
88,1024.03,0.63006,0.35805,0.87769,0.81106,0.79143,0.84742,0.64149,0.89601,0.63498,1.02392,0.000316559,0.000316559,0.000316559
89,1035.67,0.62339,0.35967,0.87673,0.83196,0.80652,0.88777,0.69182,0.8638,0.62467,1.02394,0.000313806,0.000313806,0.000313806
90,1047.29,0.62606,0.3534,0.87129,0.7878,0.8402,0.87661,0.6852,0.85732,0.6222,1.02055,0.000311054,0.000311054,0.000311054
91,1058.82,0.62051,0.35485,0.87758,0.83058,0.82419,0.89911,0.69369,0.85666,0.5818,1.01892,0.000308302,0.000308302,0.000308302
92,1070.44,0.61862,0.35399,0.86923,0.7455,0.88772,0.88396,0.68836,0.85874,0.60298,1.03578,0.00030555,0.00030555,0.00030555
93,1082.01,0.61185,0.3503,0.8765,0.83505,0.85696,0.89059,0.69507,0.85469,0.57234,1.01968,0.000302798,0.000302798,0.000302798
94,1093.66,0.61169,0.35881,0.86719,0.75052,0.86899,0.86433,0.66695,0.85179,0.61636,1.0096,0.000300045,0.000300045,0.000300045
95,1105.2,0.59032,0.34339,0.86375,0.76898,0.8551,0.86616,0.67624,0.82904,0.62349,1.02035,0.000297293,0.000297293,0.000297293
96,1116.88,0.59216,0.34023,0.86606,0.83811,0.83109,0.90069,0.69533,0.86277,0.57506,1.01565,0.000294541,0.000294541,0.000294541
97,1128.53,0.59381,0.34698,0.86529,0.8233,0.86035,0.9088,0.71317,0.84052,0.55603,0.99815,0.000291789,0.000291789,0.000291789
98,1140.31,0.59602,0.34431,0.86639,0.7655,0.85536,0.87954,0.68489,0.84832,0.61665,1.03494,0.000289037,0.000289037,0.000289037
99,1151.87,0.5852,0.34106,0.8622,0.80067,0.82484,0.88251,0.69766,0.82873,0.57679,1.00937,0.000286284,0.000286284,0.000286284
100,1163.47,0.5913,0.34057,0.86227,0.76954,0.84472,0.87466,0.67717,0.85654,0.60602,1.00835,0.000283532,0.000283532,0.000283532
101,1175.11,0.58511,0.33756,0.86354,0.77955,0.83051,0.86951,0.66991,0.85467,0.60921,1.01156,0.00028078,0.00028078,0.00028078
102,1186.68,0.58974,0.33375,0.86448,0.81722,0.81592,0.88766,0.69644,0.82235,0.60693,1.0082,0.000278028,0.000278028,0.000278028
103,1198.27,0.57898,0.33247,0.86141,0.75978,0.85125,0.87312,0.66406,0.88553,0.63987,1.01193,0.000275276,0.000275276,0.000275276
104,1209.85,0.58948,0.33814,0.86066,0.80762,0.81006,0.86107,0.67672,0.83322,0.61205,0.99911,0.000272523,0.000272523,0.000272523
105,1221.45,0.56671,0.33229,0.85687,0.78224,0.85069,0.88176,0.68715,0.85185,0.58632,1.0078,0.000269771,0.000269771,0.000269771
106,1233.06,0.56803,0.33241,0.85953,0.77554,0.85967,0.89261,0.69112,0.83482,0.57651,1.00466,0.000267019,0.000267019,0.000267019
107,1244.63,0.56943,0.32956,0.86106,0.77454,0.85628,0.89125,0.69413,0.85066,0.57171,1.00993,0.000264267,0.000264267,0.000264267
108,1256.17,0.56263,0.32178,0.84983,0.74975,0.87488,0.87583,0.68227,0.83354,0.60897,1.00081,0.000261515,0.000261515,0.000261515
