epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,2102.2,0.38392,0.24402,0.81536,0.79206,0.84441,0.87569,0.68906,0.82374,0.61666,1.00342,6.0604e-05,6.0604e-05,6.0604e-05
182,2113.8,0.37459,0.24121,0.81184,0.7754,0.87087,0.88513,0.70077,0.8193,0.61398,0.99811,5.78518e-05,5.78518e-05,5.78518e-05
183,2125.3,0.37312,0.24085,0.81516,0.77939,0.85674,0.87635,0.68975,0.82227,0.62191,1.00019,5.50996e-05,5.50996e-05,5.50996e-05
184,2136.86,0.37851,0.24585,0.81539,0.787,0.84101,0.8748,0.69241,0.8223,0.61394,1.00247,5.23474e-05,5.23474e-05,5.23474e-05
185,2148.49,0.37318,0.24242,0.81259,0.77891,0.85797,0.87225,0.69099,0.82451,0.61625,1.00695,4.95952e-05,4.95952e-05,4.95952e-05
186,2160.08,0.37522,0.2392,0.80915,0.77056,0.86138,0.88038,0.69497,0.82419,0.61404,1.00979,4.6843e-05,4.6843e-05,4.6843e-05
187,2171.57,0.36668,0.23771,0.80964,0.79578,0.8377,0.87945,0.69422,0.82468,0.60439,1.00786,4.40908e-05,4.40908e-05,4.40908e-05
188,2183.14,0.36271,0.23191,0.81069,0.7653,0.87612,0.88433,0.69948,0.82083,0.59692,1.00585,4.13386e-05,4.13386e-05,4.13386e-05
189,2194.75,0.3676,0.2356,0.80851,0.77954,0.85718,0.88175,0.69464,0.82259,0.61008,1.00608,3.85864e-05,3.85864e-05,3.85864e-05
190,2206.33,0.35736,0.22983,0.80706,0.77695,0.85239,0.87824,0.69417,0.82209,0.61361,1.00554,3.58342e-05,3.58342e-05,3.58342e-05
191,2218.55,0.33199,0.19272,0.79472,0.79927,0.82649,0.88304,0.69577,0.82835,0.60493,1.00463,3.3082e-05,3.3082e-05,3.3082e-05
192,2230.18,0.32166,0.18866,0.79251,0.80848,0.80403,0.88042,0.699,0.82304,0.60822,1.00215,3.03298e-05,3.03298e-05,3.03298e-05
193,2241.73,0.32168,0.1884,0.79436,0.79218,0.81862,0.87945,0.69739,0.82141,0.61041,1.00204,2.75776e-05,2.75776e-05,2.75776e-05
194,2253.23,0.31871,0.18718,0.79812,0.81152,0.80576,0.87652,0.69597,0.81846,0.61276,1.00414,2.48254e-05,2.48254e-05,2.48254e-05
195,2264.77,0.31483,0.18906,0.79168,0.80353,0.81336,0.8765,0.69734,0.82042,0.61301,1.00689,2.20732e-05,2.20732e-05,2.20732e-05
196,2276.33,0.30491,0.18156,0.78923,0.8099,0.8061,0.8783,0.69712,0.82005,0.61167,1.00649,1.9321e-05,1.9321e-05,1.9321e-05
197,2287.89,0.30155,0.17996,0.78489,0.75417,0.88118,0.88017,0.69873,0.81786,0.60632,1.00564,1.65688e-05,1.65688e-05,1.65688e-05
